ip,tags
node_02078,home;nat;3g;ipv4;wireless-isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
node_02079,cable;home;nat;comcast;multihomed;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;homelab;att;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;5g;docsis-31;system-v4;xfinity
node_02080,mobile;dual-stack;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-1d;5g;system-v4
node_02081,home;nat;native-ipv6;dual-stack;vdsl;ipv4;ipv6;vdsl2;dtag;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;system-v4
node_02082,system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g;system-v4
node_02002,mobile;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
node_02083,mobile;home;nat;ipv4;system-resolves-a-correctly;system-doesnt-resolve-aaaa;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d;system-v4
node_02084,home;ipv4;ipv6;multihomed;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;ups;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;5g;system-v4
node_02085,cable;office;no-nat;ipv4;multihomed;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;native-ipv4;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;spectrum;system-v4
node_02086,home;academic;nat;ipv4;isp;system-resolves-a-incorrectly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;system-v4
node_02087,home;nat;ipv4;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-1d;system-v4
node_02088,mobile;home;nat;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;o2;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g;system-v4
node_02089,fibre;core;dual-stack;nat64;ipv4;ipv6;multihomed;464xlat;ftth;isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g;system-v4
node_02090,home;nat;ipv4;adsl;multihomed;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;native-ipv4;iwantbcp38compliancetesting;system-ipv4-capable;system-ipv4-rfc1918;wi-fi;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
node_02091,home;nat;ipv4;vdsl2;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
node_02092,mobile;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-doesnt-work;cgn;lte;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;system-v4
node_02093,cable;home;nat;3g;ipv4;multihomed;ftth;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
node_02094,mobile;nat;ipv4;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;telekom;cgn;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;no-ipv6;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v4
