ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_00413,ipinfo,ipinfo,48.9356,2.3539,Saint-Denis,FR,,,False,,success,2026-06-04T08:16:48Z
node_00413,ipwho_is,ipwhois_unverified,48.904526,2.304768,Clichy,FR,,,False,,success,2026-06-03T18:38:46Z
node_00413,maxmind_geolite2,maxmind_geolite,48.8558,2.3494,Paris,FR,20,1780418264,False,,success,2026-06-04T08:16:49Z
node_00413,reallyfreegeoip,maxmind_geolite,48.9707,2.2949,Saint-Gratien,FR,,,False,,success,2026-06-04T08:16:48Z
node_00642,dbip_lite,dbip_lite,51.9647,6.29377,Doetinchem,NL,,1780278471,False,,success,2026-06-04T08:21:24Z
node_00642,geojs,maxmind_geolite,51.9639,6.2863,Doetinchem,NL,,,False,,success,2026-06-03T19:12:14Z
node_00642,ip2location_lite,ip2location_lite,51.964897,6.288529,Doetinchem,NL,,1780555707,False,,success,2026-06-04T08:21:24Z
node_00642,ip_api,ipapi_com_unverified,51.9639,6.2863,Doetinchem,NL,,,False,,success,2026-06-03T18:54:23Z
node_00642,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:21:24Z
node_00642,ipinfo,ipinfo,51.965,6.2889,Doetinchem,NL,,,False,,success,2026-06-04T08:21:23Z
node_00642,ipwho_is,ipwhois_unverified,51.9646995,6.2937736,Doetinchem,NL,,,False,,success,2026-06-03T18:54:23Z
node_00642,maxmind_geolite2,maxmind_geolite,51.9639,6.2863,Doetinchem,NL,20,1780418264,False,,success,2026-06-04T08:21:24Z
node_00642,reallyfreegeoip,maxmind_geolite,51.9639,6.2863,Doetinchem,NL,,,False,,success,2026-06-04T08:21:23Z
node_00762,dbip_lite,dbip_lite,59.3327,18.0656,Stockholm,SE,,1780278471,False,,success,2026-06-04T08:23:48Z
node_00762,geojs,maxmind_geolite,59.3247,18.056,,SE,,,True,no_city,success,2026-06-03T19:13:15Z
node_00762,ip2location_lite,ip2location_lite,59.42268,17.835079,Jakobsberg,SE,,1780555707,False,,success,2026-06-04T08:23:48Z
node_00762,ip_api,ipapi_com_unverified,59.3327,18.0656,Stockholm,SE,,,False,,success,2026-06-03T18:57:23Z
node_00762,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:23:47Z
node_00762,ipinfo,ipinfo,59.3294,18.0687,Stockholm,SE,,,False,,success,2026-06-04T08:23:47Z
node_00762,ipwho_is,ipwhois_unverified,59.3293235,18.0685808,Stockholm,SE,,,False,,success,2026-06-03T18:57:23Z
node_00762,maxmind_geolite2,maxmind_geolite,59.3247,18.056,,SE,500,1780418264,True,no_city,success,2026-06-04T08:23:48Z
node_00762,reallyfreegeoip,maxmind_geolite,59.3247,18.056,,SE,,,True,no_city,success,2026-06-04T08:23:47Z
node_00577,dbip_lite,dbip_lite,49.8478,6.09852,Ettelbruck,LU,,1780278471,False,,success,2026-06-04T08:20:06Z
node_00577,geojs,maxmind_geolite,49.8556,6.0854,Warken,LU,,,False,,success,2026-06-03T19:11:39Z
node_00577,ip2location_lite,ip2location_lite,49.611542,6.130018,Luxembourg,LU,,1780555707,False,,success,2026-06-04T08:20:06Z
node_00577,ip_api,ipapi_com_unverified,49.8556,6.0854,Warken,LU,,,False,,success,2026-06-03T18:52:46Z
node_00577,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:20:05Z
node_00577,ipinfo,ipinfo,49.8475,6.1042,Ettelbruck,LU,,,False,,success,2026-06-04T08:20:05Z
node_00577,ipwho_is,ipwhois_unverified,49.611621,6.1319346,Luxembourg City,LU,,,False,,success,2026-06-03T18:52:46Z
node_00577,maxmind_geolite2,maxmind_geolite,49.8556,6.0854,Warken,LU,5,1780418264,False,,success,2026-06-04T08:20:06Z
node_00577,reallyfreegeoip,maxmind_geolite,49.852,6.1112,Ettelbruck,LU,,,False,,success,2026-06-03T19:11:39Z
node_00024,dbip_lite,dbip_lite,48.2081,16.3713,Vienna,AT,,1780278471,False,,success,2026-06-04T08:09:03Z
node_00024,geojs,maxmind_geolite,47.2637,11.4016,Innsbruck,AT,,,False,,success,2026-06-03T19:06:53Z
node_00024,ip2location_lite,ip2location_lite,47.262661,11.39454,Innsbruck,AT,,1780555707,False,,success,2026-06-04T08:09:03Z
node_00024,ip_api,ipapi_com_unverified,47.2637,11.4016,Innsbruck,AT,,,False,,success,2026-06-03T18:26:08Z
node_00024,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:09:02Z
node_00024,ipinfo,ipinfo,47.2627,11.3945,Innsbruck,AT,,,False,,success,2026-06-04T08:09:01Z
node_00024,ipwho_is,ipwhois_unverified,47.2692124,11.4041024,Innsbruck,AT,,,False,,success,2026-06-03T18:26:08Z
node_00024,maxmind_geolite2,maxmind_geolite,47.2637,11.4016,Innsbruck,AT,50,1780418264,False,,success,2026-06-04T08:09:03Z
node_00024,reallyfreegeoip,maxmind_geolite,47.2637,11.4016,Innsbruck,AT,,,False,,success,2026-06-04T08:09:02Z
node_00503,dbip_lite,dbip_lite,45.4642,9.18998,Milan,IT,,1780278471,False,,success,2026-06-04T08:18:37Z
node_00503,geojs,maxmind_geolite,40.3511,14.9836,Agropoli,IT,,,False,,success,2026-06-03T19:11:02Z
node_00503,ip2location_lite,ip2location_lite,40.424412,15.08085,Capaccio,IT,,1780555707,False,,success,2026-06-04T08:18:37Z
node_00503,ip_api,ipapi_com_unverified,40.4792,15.1103,Albanella,IT,,,False,,success,2026-06-03T18:50:55Z
node_00503,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:18:36Z
node_00503,ipinfo,ipinfo,40.4382,15.0111,Cafasso-Borgo Nuovo,IT,,,False,,success,2026-06-04T08:18:36Z
node_00503,ipwho_is,ipwhois_unverified,41.9027835,12.4963655,Rome,IT,,,False,,success,2026-06-03T18:50:55Z
node_00503,maxmind_geolite2,maxmind_geolite,40.3511,14.9836,Agropoli,IT,20,1780418264,False,,success,2026-06-04T08:18:37Z
node_00503,reallyfreegeoip,maxmind_geolite,40.2224,15.1779,Castelnuovo Cilento,IT,,,False,,success,2026-06-03T19:11:02Z
node_00259,dbip_lite,dbip_lite,50.1396,8.74294,Frankfurt am Main (Frankfurt am Main Ost),DE,,1780278471,False,,success,2026-06-04T08:13:45Z
node_00259,geojs,maxmind_geolite,51.2993,9.491,,DE,,,True,no_city,success,2026-06-03T19:08:54Z
node_00259,ip2location_lite,ip2location_lite,50.130589,8.73516,Riederwald,DE,,1780555707,False,,success,2026-06-04T08:13:45Z
